,Artists,Artist_Pieces
0,pablo-picasso,Child with dove
1,giotto-di-bondone,"The Trial by Fire, St. Francis offers to walk through fire, to convert the Sultan of Egypt"
2,leonardo-da-vinci,The Madonna of the Carnation
3,rembrandt-van-rijn,The Storm on the Sea of Galilee
4,wassily-kandinsky,Blue rider
5,claude-monet,Women in the garden
6,caravaggio,Boy with a Basket of Fruit
7,joseph-mallord-william-turner,The Shipwreck
8,jackson-pollock,Going West
9,michelangelo-buonarroti,The Torment of Saint Anthony
10,paul-gauguin,The Vision after the Sermon (Jacob wrestling with the Angel)
11,francisco-de-goya,The Adoration of the Name of The Lord
12,vincent-van-gogh,The Potato Eaters
13,mark-rothko,Entance to Subway
14,raphael,The Madonna Conestabile
15,jean-michel-basquiat,Bird on Money
16,edvard-munch,Death in the sickroom
17,titian,Portrait of Ariosto
18,piet-mondrian,View from the Dunes with Beach and Piers
19,piero-della-francesca,Baptism of Christ
20,peter-paul-rubens,Samson and Delilah
21,andy-warhol,Big Campbell's Soup Can 19c (Beef Noodle)
22,tommaso-masaccio,St. Juvenal Triptych
23,marc-chagall,I and the Village
24,gustave-courbet,Self-Portrait with a Black Dog
25,nicolas-poussin,Dance to the Music of Time
26,paul-klee,Hammamet with mosque
27,paolo-uccello,Equestrian Monument of Sir John Hawkwood
28,william-blake,"Oberon, Titania and Puck with Fairies Dancing"
29,andrea-mantegna,Madonna and Child with Seraphim and Cherubim
30,jan-vermeer,The Procuress
31,el-greco,Dormition of the Virgin
32,caspar-david-friedrich,Landscape with rainbow
33,winslow-homer,"The Bridal Path, White Mountains"
34,marcel-duchamp,Bicycle Wheel
35,giorgione,The Tempest
36,frida-kahlo,Henry Ford Hospital (The Flying Bed)
37,hans-holbein-the-younger,The Body of the Dead Christ in the Tomb
38,fra-angelico,Last Judgment
39,jean-antoine-watteau,Diana at her Bath
40,tintoretto,Madonna with Child and Donor Tintoretto
41,sandro-botticelli,The Adoration of the Magi
42,umberto-boccioni,Self-portrait
43,joachim-patinir,Miracle of St. Catherine
44,john-constable,Flatford Mill from a Lock on the Stour
45,jacques-louis-david,The Oath of Horatii
46,pieter-bruegel-the-elder,The Fight between Carnival and Lent
47,simone-martini,Saint Catherine of Alexandria Polyptych
48,frederic-edwin-church,Niagara
49,edward-hopper,Girl at a Sewing Machine
50,lucio-fontana,Sphere
51,franz-marc,Horse in a landscape
52,pierre-auguste-renoir,Camille Monet and Her Son Jean in the Garden at Argenteuil
53,james-mcneill-whistler,Morning Glories
54,william-hogarth,Rake's Progress' The Gaming House
55,camille-corot,Temple of Minerva Medica
56,georges-braque,Landscape near Antwerp
57,hans-memling,Adoration of the Magi: Whole Triptych
58,gerhard-richter,Mouth (Brigitte Bardot's Lips)
59,amedeo-modigliani,Portrait of Maude Abrantes
60,georges-de-la-tour,"The Hurdy-Gurdy Player, also called Hurdy-Gurdy Player with Hat"
61,cimabue,The Flagellation of Christ
62,james-ensor,The Oyster Eater
63,el-lissitzky,Beat all the scattered
64,egon-schiele,"The Artist's Sister, Melanie"
65,dante-gabriel-rossetti,Self-Portrait
66,frans-hals,Marriage Portrait of Isaac Massa and Beatrix van der Laen
67,claude-lorrain,Coast Scene with Europa and the Bull
68,roy-lichtenstein,Blam
69,gustave-moreau,The Sphinx
70,giorgio-de-chirico,Piazza d'Italia
71,jean-auguste-dominique-ingres,"Portrait of Napoléon Bonaparte, The First Council"
