,Artists,Piece_Title,Art_Piece
0,pablo-picasso,Child with dove,https://uploads4.wikiart.org/images/pablo-picasso/child-with-dove-1901.jpg!PinterestSmall.jpg
1,giotto-di-bondone,"The Trial by Fire, St. Francis offers to walk through fire, to convert the Sultan of Egypt",https://uploads6.wikiart.org/images/giotto/the-trial-by-fire-st-francis-offers-to-walk-through-fire-to-convert-the-sultan-of-egypt-1297.jpg!PinterestSmall.jpg
2,leonardo-da-vinci,The Madonna of the Carnation,https://uploads7.wikiart.org/images/leonardo-da-vinci/the-madonna-of-the-carnation.jpg!PinterestSmall.jpg
3,rembrandt-van-rijn,The Storm on the Sea of Galilee,https://uploads4.wikiart.org/images/rembrandt/christ-in-the-storm-1633.jpg!PinterestSmall.jpg
4,wassily-kandinsky,Blue rider,https://uploads3.wikiart.org/images/wassily-kandinsky/blue-rider-1903.jpg!PinterestSmall.jpg
5,claude-monet,Women in the garden,https://uploads2.wikiart.org/images/claude-monet/women-in-the-garden.jpg!PinterestSmall.jpg
6,caravaggio,Boy with a Basket of Fruit,https://uploads2.wikiart.org/00229/images/le-caravage/1920px-boy-with-a-basket-of-fruit-by-caravaggio-1.jpg!PinterestSmall.jpg
7,joseph-mallord-william-turner,The Shipwreck,https://uploads7.wikiart.org/images/william-turner/the-shipwreck.jpg!PinterestSmall.jpg
8,jackson-pollock,Going West,https://uploads5.wikiart.org/images/jackson-pollock/going-west.jpg!PinterestSmall.jpg
9,michelangelo-buonarroti,The Torment of Saint Anthony,https://uploads2.wikiart.org/images/michelangelo/the-torment-of-saint-anthony.jpg!PinterestSmall.jpg
10,paul-gauguin,The Vision after the Sermon (Jacob wrestling with the Angel),https://uploads1.wikiart.org/images/paul-gauguin/the-vision-after-the-sermon-jacob-wrestling-with-the-angel-1888.jpg!PinterestSmall.jpg
11,francisco-de-goya,The Adoration of the Name of The Lord,https://uploads0.wikiart.org/images/francisco-goya/the-adoration-of-the-name-of-the-lord-1772.jpg!PinterestSmall.jpg
12,vincent-van-gogh,The Potato Eaters,https://uploads2.wikiart.org/images/vincent-van-gogh/the-potato-eaters-1885-1.jpg!PinterestSmall.jpg
13,mark-rothko,Entance to Subway,https://uploads8.wikiart.org/images/mark-rothko/entance-to-subway.jpg!PinterestSmall.jpg
14,raphael,The Madonna Conestabile,https://uploads6.wikiart.org/images/raphael/the-madonna-conestabile-1502.jpg!PinterestSmall.jpg
15,jean-michel-basquiat,Bird on Money,https://uploads4.wikiart.org/images/jean-michel-basquiat/bird-on-money.jpg!PinterestSmall.jpg
16,edvard-munch,Death in the sickroom,https://uploads0.wikiart.org/images/edvard-munch/death-in-the-sickroom-1893.jpg!PinterestSmall.jpg
17,titian,Portrait of Ariosto,https://uploads1.wikiart.org/images/titian/portrait-of-ariosto-1510.jpg!PinterestSmall.jpg
18,piet-mondrian,View from the Dunes with Beach and Piers,https://uploads2.wikiart.org/images/piet-mondrian/view-from-the-dunes-with-beach-and-piers-1909.jpg!PinterestSmall.jpg
19,piero-della-francesca,Baptism of Christ,https://uploads8.wikiart.org/images/piero-della-francesca/baptism-of-christ-1450(1).jpg!PinterestSmall.jpg
20,peter-paul-rubens,Samson and Delilah,https://uploads6.wikiart.org/images/peter-paul-rubens/samson-and-delilah.jpg!PinterestSmall.jpg
21,andy-warhol,Big Campbell's Soup Can 19c (Beef Noodle),https://uploads6.wikiart.org/images/andy-warhol/campbell-s-soup-can-beef.jpg!PinterestSmall.jpg
22,tommaso-masaccio,St. Juvenal Triptych,https://uploads3.wikiart.org/images/masaccio/st-juvenal-triptych-1422.jpg!PinterestSmall.jpg
23,marc-chagall,I and the Village,https://uploads5.wikiart.org/images/marc-chagall/i-and-the-village-1911.jpg!PinterestSmall.jpg
24,gustave-courbet,Self-Portrait with a Black Dog,https://uploads3.wikiart.org/images/gustave-courbet/self-portrait-with-a-black-dog-1841.jpg!PinterestSmall.jpg
25,nicolas-poussin,Dance to the Music of Time,https://uploads2.wikiart.org/00116/images/nicolas-poussin/the-dance-to-the-music-of-time-c-1640.jpg!PinterestSmall.jpg
26,paul-klee,Hammamet with mosque,https://uploads8.wikiart.org/images/paul-klee/hammamet-with-mosque-1914(1).jpg!PinterestSmall.jpg
27,paolo-uccello,Equestrian Monument of Sir John Hawkwood,https://uploads2.wikiart.org/images/paolo-uccello/equestrian-monument-of-sir-john-hawkwood-1436.jpg!PinterestSmall.jpg
28,william-blake,"Oberon, Titania and Puck with Fairies Dancing",https://uploads4.wikiart.org/images/william-blake/oberon-titania-and-puck-with-fairies-dancing(1).jpg!PinterestSmall.jpg
29,andrea-mantegna,Madonna and Child with Seraphim and Cherubim,https://uploads8.wikiart.org/images/andrea-mantegna/madonna-and-child-with-seraphim-and-cherubim-1460.jpg!PinterestSmall.jpg
30,jan-vermeer,The Procuress,https://uploads5.wikiart.org/images/johannes-vermeer/the-procuress-1656.jpg!PinterestSmall.jpg
31,el-greco,Dormition of the Virgin,https://uploads7.wikiart.org/images/el-greco/dormition-of-the-virgin-1566.jpg!PinterestSmall.jpg
32,caspar-david-friedrich,Landscape with rainbow,https://uploads6.wikiart.org/images/caspar-david-friedrich/landscape-with-rainbow.jpg!PinterestSmall.jpg
33,winslow-homer,"The Bridal Path, White Mountains",https://uploads2.wikiart.org/images/winslow-homer/the-bridal-path-white-mountains-1868.jpg!PinterestSmall.jpg
